RespondentID,Department,Region,Tenure,Q1. I feel valued at work,Q2. My manager supports my growth,Q3. Workload is sustainable,Q4. I have the tools I need,Q5. I understand company strategy,Q6. I can be my authentic self,Q7. I would recommend us as a place to work,Q8. I see a path to grow here,What_is_working,What_to_improve
R0001,Engineering,APAC,5y+,2,4,3,3,4,3,4,3,"Good customers, meaningful work.",Not enough headcount for the roadmap.
R0002,People,APAC,<1y,4,5,4,4,5,3,4,4,I learn something new every week.,Compensation lags the market.
R0003,People,NA,3-5y,5,4,5,3,3,3,5,4,Managers actually listen.,On-call load is heavy this quarter.
R0004,Sales,APAC,<1y,5,3,4,2,3,3,2,4,Flexible hours help a lot.,Promotion process feels opaque.
R0005,Finance,APAC,<1y,5,5,3,4,3,2,3,4,Flexible hours help a lot.,On-call load is heavy this quarter.
R0006,Sales,APAC,<1y,3,3,3,3,3,5,4,3,Great teammates and a real mission.,Career paths are unclear.
R0007,Engineering,EMEA,5y+,4,3,4,4,3,5,4,4,Flexible hours help a lot.,Not enough headcount for the roadmap.
R0008,Product,EMEA,3-5y,3,3,2,2,4,2,3,4,Great teammates and a real mission.,Tooling is fragmented.
R0009,Engineering,APAC,5y+,5,5,3,4,4,3,3,4,I learn something new every week.,Not enough headcount for the roadmap.
R0010,Sales,LATAM,5y+,4,2,2,3,4,4,5,5,Great teammates and a real mission.,Not enough headcount for the roadmap.
R0011,Finance,NA,<1y,4,3,4,4,5,5,3,3,Strong onboarding buddy program.,Compensation lags the market.
R0012,Operations,EMEA,5y+,3,3,2,4,4,5,5,3,Flexible hours help a lot.,Promotion process feels opaque.
R0013,Customer Success,LATAM,5y+,4,4,5,4,4,4,5,4,Flexible hours help a lot.,Tooling is fragmented.
R0014,Marketing,LATAM,3-5y,3,4,4,4,2,3,4,3,"Good customers, meaningful work.",Promotion process feels opaque.
R0015,Engineering,APAC,<1y,5,4,5,4,3,4,4,4,I learn something new every week.,On-call load is heavy this quarter.
R0016,Engineering,NA,5y+,1,5,2,3,3,4,3,5,Managers actually listen.,Tooling is fragmented.
R0017,Customer Success,NA,3-5y,3,5,4,4,3,5,3,4,Great teammates and a real mission.,Tooling is fragmented.
R0018,Sales,APAC,5y+,3,2,3,4,3,4,5,2,Interesting technical challenges.,Not enough headcount for the roadmap.
R0019,Product,APAC,5y+,3,3,2,4,5,3,2,3,I learn something new every week.,Not enough headcount for the roadmap.
R0020,Operations,NA,3-5y,3,5,3,2,3,4,2,3,Interesting technical challenges.,Cross-team handoffs are slow.
R0021,Engineering,EMEA,3-5y,5,4,3,5,5,3,3,5,Interesting technical challenges.,Compensation lags the market.
R0022,Operations,NA,5y+,2,3,2,4,3,3,4,4,I learn something new every week.,Not enough headcount for the roadmap.
R0023,People,LATAM,3-5y,4,5,5,4,3,3,4,4,Managers actually listen.,On-call load is heavy this quarter.
R0024,Customer Success,APAC,5y+,3,3,5,4,3,3,5,4,Flexible hours help a lot.,"Too many meetings, not enough focus time."
R0025,Operations,APAC,5y+,4,3,1,3,3,5,3,3,I learn something new every week.,On-call load is heavy this quarter.
R0026,Marketing,LATAM,3-5y,4,4,2,2,4,3,3,4,Strong onboarding buddy program.,Compensation lags the market.
R0027,Engineering,EMEA,1-3y,4,4,3,4,4,4,3,3,Flexible hours help a lot.,Not enough headcount for the roadmap.
R0028,Marketing,NA,<1y,4,5,3,4,3,5,3,3,Interesting technical challenges.,On-call load is heavy this quarter.
R0029,Finance,LATAM,3-5y,4,3,5,4,5,4,4,3,Great teammates and a real mission.,On-call load is heavy this quarter.
R0030,Engineering,APAC,5y+,2,2,3,3,5,4,3,2,"Good customers, meaningful work.",On-call load is heavy this quarter.
R0031,Finance,EMEA,3-5y,3,3,4,3,5,5,5,3,Managers actually listen.,Cross-team handoffs are slow.
R0032,Operations,NA,5y+,4,5,4,1,2,3,2,4,Great teammates and a real mission.,"Too many meetings, not enough focus time."
R0033,People,EMEA,<1y,5,4,3,5,4,4,5,3,Great teammates and a real mission.,Not enough headcount for the roadmap.
R0034,Finance,NA,5y+,4,3,4,5,4,4,5,5,Interesting technical challenges.,Not enough headcount for the roadmap.
R0035,Engineering,APAC,<1y,4,4,4,3,3,5,5,3,I learn something new every week.,Career paths are unclear.
R0036,Engineering,APAC,<1y,4,3,5,5,5,5,2,2,Managers actually listen.,Career paths are unclear.
R0037,Engineering,APAC,5y+,4,4,2,4,3,4,4,3,Leadership is transparent in town halls.,Promotion process feels opaque.
R0038,Engineering,APAC,<1y,4,5,4,3,2,3,3,3,Flexible hours help a lot.,Cross-team handoffs are slow.
R0039,Engineering,APAC,<1y,3,4,3,3,5,3,4,5,"Good customers, meaningful work.",Promotion process feels opaque.
R0040,Marketing,EMEA,5y+,4,5,3,3,3,4,4,2,Leadership is transparent in town halls.,Compensation lags the market.
R0041,People,EMEA,1-3y,3,4,4,5,4,4,5,5,Managers actually listen.,Compensation lags the market.
R0042,People,NA,3-5y,5,4,5,4,3,4,5,4,Managers actually listen.,On-call load is heavy this quarter.
R0043,Product,NA,5y+,3,3,4,3,4,3,4,3,Strong onboarding buddy program.,"Too many meetings, not enough focus time."
R0044,Sales,NA,3-5y,1,4,4,3,3,4,1,3,"Good customers, meaningful work.",Cross-team handoffs are slow.
R0045,Finance,NA,5y+,4,4,3,4,3,3,3,3,Leadership is transparent in town halls.,"Too many meetings, not enough focus time."
R0046,Operations,EMEA,3-5y,3,2,4,2,3,3,2,3,Great teammates and a real mission.,Not enough headcount for the roadmap.
R0047,Customer Success,APAC,<1y,3,4,3,4,4,4,5,3,I learn something new every week.,On-call load is heavy this quarter.
R0048,People,APAC,<1y,3,3,5,4,5,4,4,4,Leadership is transparent in town halls.,Cross-team handoffs are slow.
R0049,Engineering,APAC,3-5y,4,2,3,4,4,3,4,3,Interesting technical challenges.,On-call load is heavy this quarter.
R0050,People,EMEA,5y+,4,4,4,4,4,4,4,5,Flexible hours help a lot.,"Too many meetings, not enough focus time."
R0051,Sales,APAC,5y+,3,4,3,3,4,3,4,4,Flexible hours help a lot.,Not enough headcount for the roadmap.
R0052,Engineering,EMEA,1-3y,3,2,3,2,4,4,4,2,Strong onboarding buddy program.,On-call load is heavy this quarter.
R0053,Marketing,NA,3-5y,4,4,5,4,3,3,5,3,Interesting technical challenges.,"Too many meetings, not enough focus time."
R0054,Product,LATAM,3-5y,4,3,4,4,4,2,3,2,Leadership is transparent in town halls.,Career paths are unclear.
R0055,Product,NA,<1y,3,4,5,3,3,5,4,3,Leadership is transparent in town halls.,Not enough headcount for the roadmap.
R0056,Customer Success,LATAM,3-5y,4,3,3,4,4,2,4,5,Interesting technical challenges.,On-call load is heavy this quarter.
R0057,Operations,EMEA,3-5y,4,3,2,4,2,2,3,2,Interesting technical challenges.,On-call load is heavy this quarter.
